DateTime,PriceTU,PriceFV,PriceTY,PriceUS,PriceUB,OptWeightTU,OptWeightFV,OptWeightTY,OptWeightUS,OptWeightUB,PortNotional,dfPositionTU,dfPositionFV,dfPositionTY,dfPositionUS,dfPositionUB,PortPrice,InitMargin,DailyPnL,CumNetPnL
2017-01-02 19:00:00,108.296875,117.5234375,124.046875,150.21875,159.59375,0.239420993,0.176398589,-0.135898434,-0.263655883,0.1846261,57890.654709873175,6.930119018028981,10.211829807107831,-7.86724931830649,-15.263211684979721,10.688125805530515,19.660852318101565,0.0,0.0,0.0
2017-01-02 20:00:00,108.296875,117.5390625,124.078125,150.3125,159.75,0.205643338,0.221379958,-0.175470185,-0.231471714,0.166034805,60795.87805769672,6.251133650212855,13.45898893098602,-10.667863970021484,-14.07252609815005,10.094231758113454,18.250280129500002,0.0,0.0,0.0
2017-01-02 21:00:00,108.3046875,117.5546875,124.09375,150.34375,159.75,0.306894428,0.095349418,-0.074644697,-0.310858157,0.2122533,54359.771423083555,8.341355478548987,5.183172567804049,-4.057668666865331,-16.898178359521022,11.53804087179518,22.35581942151562,0.0,0.0,0.0
2017-01-02 22:00:00,108.3125,117.578125,124.109375,150.34375,159.78125,0.352608904,-0.105150593,0.063063821,-0.288998539,0.190178143,58870.17661307071,10.379074226910648,-6.190233980879117,3.712578280165078,-17.013395031849402,11.195820866355817,20.593131069781254,0.0,0.0,0.0
2017-01-02 23:00:00,108.3125,117.5859375,124.125,150.4375,159.90625,0.315660775,-0.160762618,0.110984539,-0.251161942,0.161430126,63284.69886885254,9.988248545291809,-10.173813869498371,7.02362312971342,-15.894707866786208,10.216056912270924,17.09205187914062,0.0,0.0,0.0
2017-01-03 00:00:00,108.3203125,117.6171875,124.171875,150.53125,160.0,0.303252111,-0.181106451,0.127735115,-0.237045513,0.15086081,65143.48327953088,9.87744941120547,-11.797905062533678,8.321110328211455,-15.441970412603322,9.827598653771487,15.863212979187503,0.0,0.0,0.0
2017-01-03 01:00:00,108.3203125,117.625,124.1875,150.59375,160.09375,0.299419739,-0.192472225,0.134870324,-0.228453936,0.144783777,66443.33227369605,9.947222603840174,-12.78849599913259,8.961233751393046,-15.179240778881693,9.619916603051713,15.31814546786719,0.0,0.0,0.0
2017-01-03 02:00:00,108.3203125,117.5859375,124.140625,150.53125,160.0,0.362601777,-0.0383351,0.03059489,-0.342266817,0.226201417,52806.876071465835,9.573933550666146,-2.02435687488725,1.6156205646501294,-18.074041388694077,11.944990194708964,23.237912814914065,0.0,0.0,0.0
2017-01-03 03:00:00,108.3046875,117.515625,124.0,150.15625,159.53125,0.269770832,-0.236247716,0.172690186,-0.198901279,0.122389987,70757.14036746453,9.544106313435847,-16.716212802504895,12.219063730885557,-14.073685717471225,8.65996548973116,12.526988158562505,0.0,0.0,0.0
2017-01-03 04:00:00,108.3046875,117.4921875,123.96875,149.96875,159.28125,0.292033379,0.121710123,-0.106856544,-0.282755578,0.196644375,56770.02650820614,8.289371333555504,6.90948690902703,-6.066248835455295,-16.052041658403148,11.163506381439628,21.598961522609372,0.0,0.0,0.0
2017-01-03 05:00:00,108.28125,117.421875,123.84375,149.5625,158.71875,0.373731424,0.030235762,-0.048094487,-0.325431409,0.222506918,53926.68343086521,10.07704809510723,1.6305143656649839,-2.593576175218862,-17.54943657160342,11.999060128163485,24.7059287794375,0.0,0.0,0.0
2017-01-03 06:00:00,108.25,117.328125,123.703125,149.125,158.15625,0.054195121,0.41101409,-0.330255787,-0.109159717,0.095375285,74397.38899398143,2.0159877493064458,30.57837513573729,-24.570168252952477,-8.121197928121928,7.095672178556842,12.04221609595312,0.0,0.0,0.0
2017-01-03 07:00:00,108.265625,117.375,123.78125,149.28125,158.40625,-0.057904634,0.497017219,-0.40064933,-0.010280376,0.03414844,100342.3666966928,-2.9051440091328926,49.87188404346848,-40.20210198764429,-1.03155725837188,3.426535288600012,6.35009875465625,0.0,0.0,0.0
2017-01-03 08:00:00,108.2734375,117.3671875,123.765625,149.3125,158.46875,-0.069036127,0.498281661,-0.399100855,-0.003971737,0.02960962,103771.76132053383,-3.5820002467690304,51.70756559569115,-41.41539866788097,-0.4121541439919331,3.0726424194317046,5.711341083875,0.0,0.0,0.0
2017-01-03 09:00:00,108.2578125,117.359375,123.703125,149.3125,158.40625,0.213559741,-0.369820569,0.264118406,-0.10057895,0.051922334,92700.40530852163,9.898537274141452,-34.282516637728094,24.48388328564067,-9.32370943050553,4.813221406364433,5.596999499273439,0.0,0.0,0.0
2017-01-03 10:00:00,108.2578125,117.390625,123.796875,149.875,159.28125,0.210125492,-0.375760977,0.268971389,-0.096398339,0.048743802,93890.99706343048,9.864445976161942,-35.28057278805876,25.253991894745816,-9.050936163968576,4.576604170442437,5.251000251062495,0.0,0.0,0.0
2017-01-03 11:00:00,108.2421875,117.390625,123.859375,150.0625,159.65625,0.474434063,-0.035008194,-0.116378199,-0.213039424,0.161140119,69699.08147044992,16.533809204696787,-2.440038965739316,-8.111453573485234,-14.848652169793723,11.231318282338995,26.587414598179688,0.0,0.0,0.0
2017-01-03 12:00:00,108.2578125,117.46875,123.96875,150.21875,159.875,0.422981941,-0.332452784,0.098802119,-0.083547456,0.0622157,114630.45263953201,24.24330567758891,-38.10921311119257,11.325731622714907,-9.577082698161387,7.131813852285331,16.38300251044531,0.0,0.0,0.0
