ts_date,TF
8/31/2022 9:30,101.8734932
8/31/2022 9:31,101.8756252
8/31/2022 9:32,101.8838969
8/31/2022 9:33,101.8862761
8/31/2022 9:34,101.8909723
8/31/2022 9:35,101.8952695
8/31/2022 9:36,101.9086259
8/31/2022 9:37,101.9142501
8/31/2022 9:38,101.9216215
8/31/2022 9:39,101.9187397
8/31/2022 9:40,101.917187
8/31/2022 9:41,101.9166269
8/31/2022 9:42,101.917999
8/31/2022 9:43,101.9338093
8/31/2022 9:44,101.9267823
8/31/2022 9:45,101.9112063
8/31/2022 9:46,101.9096582
8/31/2022 9:47,101.9070591
8/31/2022 9:48,101.9048808
8/31/2022 9:49,101.9038584
8/31/2022 9:50,101.9028225
8/31/2022 9:51,101.919438
8/31/2022 9:52,101.9216577
8/31/2022 9:53,101.9256424
8/31/2022 9:54,101.9244199
8/31/2022 9:55,101.9296786
8/31/2022 9:56,101.9208764
8/31/2022 9:57,101.9151164
8/31/2022 9:58,101.9174974
8/31/2022 9:59,101.9112885
8/31/2022 10:00,101.9101012
8/31/2022 10:01,101.9145869
8/31/2022 10:02,101.9121506
8/31/2022 10:03,101.906429
8/31/2022 10:04,101.9082797
8/31/2022 10:05,101.9047772
8/31/2022 10:06,101.8998151
8/31/2022 10:07,101.9038905
8/31/2022 10:08,101.9090035
8/31/2022 10:09,101.9126236
8/31/2022 10:10,101.9109088
8/31/2022 10:11,101.91
8/31/2022 10:12,101.9059079
8/31/2022 10:13,101.8985806
8/31/2022 10:14,101.8962445
8/31/2022 10:15,101.8981583
8/31/2022 10:16,101.8972652
8/31/2022 10:17,101.9001678
8/31/2022 10:18,101.9045334
8/31/2022 10:19,101.8980863
8/31/2022 10:20,101.8931698
8/31/2022 10:21,101.8893241
8/31/2022 10:22,101.888418
8/31/2022 10:23,101.8858065
8/31/2022 10:24,101.8835342
8/31/2022 10:25,101.8766273
8/31/2022 10:26,101.8796896
8/31/2022 10:27,101.8787074
8/31/2022 10:28,101.875
8/31/2022 10:29,101.8771447
8/31/2022 10:30,101.8692613
8/31/2022 10:31,101.8695643
8/31/2022 10:32,101.874096
8/31/2022 10:33,101.8746864
8/31/2022 10:34,101.8747054
8/31/2022 10:35,101.8767917
8/31/2022 10:36,101.8745316
8/31/2022 10:37,101.8856932
8/31/2022 10:38,101.8869677
8/31/2022 10:39,101.885
8/31/2022 10:40,101.8824376
8/31/2022 10:41,101.8850056
8/31/2022 10:42,101.8929173
8/31/2022 10:43,101.8917253
8/31/2022 10:44,101.8902944
8/31/2022 10:45,101.8905997
8/31/2022 10:46,101.8889259
8/31/2022 10:47,101.8884806
8/31/2022 10:48,101.8889647
8/31/2022 10:49,101.885
8/31/2022 10:50,101.8884389
8/31/2022 10:51,101.8937504
8/31/2022 10:52,101.8884993
8/31/2022 10:53,101.8853183
8/31/2022 10:54,101.885
8/31/2022 10:55,101.8829578
8/31/2022 10:56,101.8812691
8/31/2022 10:57,101.88
8/31/2022 10:58,101.8822578
8/31/2022 10:59,101.882499
8/31/2022 11:00,101.8789986
8/31/2022 11:01,101.8802084
8/31/2022 11:02,101.88
8/31/2022 11:03,101.8766633
8/31/2022 11:04,101.8752506
8/31/2022 11:05,101.8751848
8/31/2022 11:06,101.8786681
8/31/2022 11:07,101.8804546
8/31/2022 11:08,101.8804546
8/31/2022 11:09,101.88
8/31/2022 11:10,101.8806529
8/31/2022 11:11,101.88
8/31/2022 11:12,101.88
8/31/2022 11:13,101.8787502
8/31/2022 11:14,101.881
8/31/2022 11:15,101.8843761
8/31/2022 11:16,101.890194
8/31/2022 11:17,101.8901245
8/31/2022 11:18,101.89
8/31/2022 11:19,101.8854118
8/31/2022 11:20,101.8854545
8/31/2022 11:21,101.889447
8/31/2022 11:22,101.8898213
8/31/2022 11:23,101.8819631
8/31/2022 11:24,101.8785007
8/31/2022 11:25,101.8756091
8/31/2022 11:26,101.8781799
8/31/2022 11:27,101.8724967
8/31/2022 11:28,101.8706274
8/31/2022 11:29,101.8706952
8/31/2022 11:30,0
8/31/2022 11:31,1
8/31/2022 11:32,2
8/31/2022 11:33,3
8/31/2022 11:34,4
8/31/2022 11:35,5
8/31/2022 11:36,6
8/31/2022 11:37,7
8/31/2022 11:38,8
8/31/2022 11:39,9
8/31/2022 11:40,10
8/31/2022 11:41,11
8/31/2022 11:42,12
8/31/2022 11:43,13
8/31/2022 11:44,14
8/31/2022 11:45,15
8/31/2022 11:46,16
8/31/2022 11:47,17
8/31/2022 11:48,18
8/31/2022 11:49,19
8/31/2022 11:50,20
8/31/2022 11:51,21
8/31/2022 11:52,22
8/31/2022 11:53,23
8/31/2022 11:54,24
8/31/2022 11:55,25
8/31/2022 11:56,26
8/31/2022 11:57,27
8/31/2022 11:58,28
8/31/2022 11:59,29
8/31/2022 12:00,30
8/31/2022 12:01,31
8/31/2022 12:02,32
8/31/2022 12:03,33
8/31/2022 12:04,34
8/31/2022 12:05,35
8/31/2022 12:06,36
8/31/2022 12:07,37
8/31/2022 12:08,38
8/31/2022 12:09,39
8/31/2022 12:10,40
8/31/2022 12:11,41
8/31/2022 12:12,42
8/31/2022 12:13,43
8/31/2022 12:14,44
8/31/2022 12:15,45
8/31/2022 12:16,46
8/31/2022 12:17,47
8/31/2022 12:18,48
8/31/2022 12:19,49
8/31/2022 12:20,50
8/31/2022 12:21,51
8/31/2022 12:22,52
8/31/2022 12:23,53
8/31/2022 12:24,54
8/31/2022 12:25,55
8/31/2022 12:26,56
8/31/2022 12:27,57
8/31/2022 12:28,58
8/31/2022 12:29,59
