Time,last,volume
2022-08-31 09:31:16,101.455,2455.000
2022-08-31 09:31:17,101.455,2455.000
2022-08-31 09:31:17,101.460,2456.000
2022-08-31 09:31:18,101.460,2457.000
2022-08-31 09:31:18,101.460,2497.000
2022-08-31 09:31:19,101.460,2498.000
2022-08-31 09:31:20,101.460,2498.000
2022-08-31 09:31:20,101.465,2499.000
2022-08-31 09:31:20,101.465,2530.000
2022-08-31 09:31:21,101.470,2532.000
2022-08-31 09:31:21,101.465,2546.000
2022-08-31 09:31:22,101.465,2560.000
2022-08-31 09:31:22,101.475,2564.000
2022-08-31 09:31:23,101.475,2568.000
2022-08-31 09:31:23,101.470,2575.000
2022-08-31 09:31:24,101.470,2577.000
2022-08-31 09:31:24,101.470,2577.000
2022-08-31 09:31:25,101.475,2586.000
2022-08-31 09:31:25,101.475,2586.000
2022-08-31 09:31:26,101.475,2592.000
2022-08-31 09:31:26,101.475,2597.000
2022-08-31 09:31:27,101.475,2601.000
2022-08-31 09:31:28,101.475,2601.000
2022-08-31 09:31:28,101.475,2601.000
2022-08-31 09:31:28,101.475,2608.000
2022-08-31 09:31:29,101.480,2647.000
2022-08-31 09:31:29,101.475,2661.000
2022-08-31 09:31:30,101.475,2661.000
2022-08-31 09:31:31,101.475,2662.000
2022-08-31 09:31:31,101.480,2665.000
2022-08-31 09:31:32,101.480,2665.000
2022-08-31 09:31:32,101.475,2666.000
2022-08-31 09:31:33,101.475,2666.000
2022-08-31 09:31:33,101.480,2687.000
2022-08-31 09:31:34,101.480,2687.000
2022-08-31 09:31:34,101.475,2692.000
2022-08-31 09:31:35,101.475,2692.000
2022-08-31 09:31:36,101.475,2692.000
2022-08-31 09:31:36,101.480,2693.000
2022-08-31 09:31:36,101.475,2694.000
2022-08-31 09:31:37,101.480,2698.000
2022-08-31 09:31:37,101.480,2698.000
2022-08-31 09:31:38,101.480,2718.000
2022-08-31 09:31:39,101.480,2721.000
2022-08-31 09:31:39,101.480,2721.000
2022-08-31 09:31:39,101.480,2729.000
2022-08-31 09:31:40,101.480,2729.000
2022-08-31 09:31:40,101.480,2739.000
2022-08-31 09:31:41,101.480,2739.000
2022-08-31 09:31:41,101.480,2743.000
2022-08-31 09:31:42,101.475,2746.000
2022-08-31 09:31:42,101.475,2755.000
2022-08-31 09:31:43,101.480,2759.000
2022-08-31 09:31:44,101.475,2774.000
2022-08-31 09:31:44,101.475,2774.000
2022-08-31 09:31:44,101.475,2811.000
2022-08-31 09:31:45,101.475,2817.000
2022-08-31 09:31:45,101.475,2820.000
2022-08-31 09:31:46,101.475,2822.000
2022-08-31 09:31:47,101.475,2822.000
2022-08-31 09:31:47,101.475,2822.000
2022-08-31 09:31:47,101.480,2852.000
2022-08-31 09:31:48,101.485,2859.000
2022-08-31 09:31:48,101.485,2870.000
2022-08-31 09:31:49,101.485,2881.000
2022-08-31 09:31:49,101.485,2885.000
2022-08-31 09:31:50,101.480,2886.000
2022-08-31 09:31:50,101.480,2887.000
2022-08-31 09:31:51,101.480,2887.000
2022-08-31 09:31:51,101.480,2887.000
2022-08-31 09:31:52,101.480,2887.000
2022-08-31 09:31:52,101.480,2887.000
2022-08-31 09:31:53,101.480,2888.000
2022-08-31 09:31:53,101.480,2892.000
2022-08-31 09:31:54,101.480,2892.000
2022-08-31 09:31:55,101.480,3016.000
2022-08-31 09:31:55,101.475,3019.000
2022-08-31 09:31:55,101.475,3019.000
2022-08-31 09:31:56,101.475,3019.000
2022-08-31 09:31:56,101.480,3039.000
2022-08-31 09:31:57,101.480,3040.000
2022-08-31 09:31:57,101.480,3044.000
2022-08-31 09:31:58,101.480,3044.000
2022-08-31 09:31:58,101.480,3044.000
2022-08-31 09:31:59,101.480,3044.000
2022-08-31 09:32:00,101.480,3044.000
2022-08-31 09:32:00,101.485,3046.000
2022-08-31 09:32:01,101.480,3048.000
2022-08-31 09:32:01,101.480,3048.000
2022-08-31 09:32:03,101.480,3049.000
2022-08-31 09:32:03,101.480,3049.000
2022-08-31 09:32:03,101.480,3049.000
2022-08-31 09:32:04,101.480,3051.000
2022-08-31 09:32:05,101.480,3051.000
2022-08-31 09:32:06,101.480,3052.000
2022-08-31 09:32:06,101.485,3094.000
2022-08-31 09:32:07,101.485,3098.000
2022-08-31 09:32:07,101.485,3098.000
2022-08-31 09:32:08,101.490,3136.000
2022-08-31 09:32:08,101.495,3139.000
2022-08-31 09:32:09,101.495,3139.000
2022-08-31 09:32:09,101.495,3139.000
2022-08-31 09:32:10,101.495,3139.000
2022-08-31 09:32:11,101.495,3139.000
2022-08-31 09:32:11,101.495,3139.000
2022-08-31 09:32:12,101.495,3145.000
2022-08-31 09:32:12,101.495,3146.000
2022-08-31 09:32:14,101.495,3146.000
2022-08-31 09:32:14,101.495,3149.000
2022-08-31 09:32:15,101.495,3169.000
2022-08-31 09:32:15,101.495,3184.000
2022-08-31 09:32:16,101.495,3194.000
2022-08-31 09:32:16,101.495,3196.000
2022-08-31 09:32:17,101.495,3196.000
2022-08-31 09:32:17,101.495,3196.000
2022-08-31 09:32:18,101.490,3211.000
2022-08-31 09:32:19,101.490,3237.000
2022-08-31 09:32:19,101.490,3253.000
2022-08-31 09:32:19,101.490,3257.000
2022-08-31 09:32:20,101.490,3267.000
2022-08-31 09:32:21,101.490,3269.000
2022-08-31 09:32:22,101.490,3278.000
2022-08-31 09:32:22,101.490,3287.000
2022-08-31 09:32:23,101.490,3288.000
2022-08-31 09:32:23,101.490,3288.000
2022-08-31 09:32:24,101.490,3288.000
2022-08-31 09:32:24,101.490,3289.000
2022-08-31 09:32:25,101.490,3289.000
2022-08-31 09:32:25,101.485,3299.000
2022-08-31 09:32:26,101.490,3300.000
2022-08-31 09:32:26,101.490,3300.000
2022-08-31 09:32:27,101.490,3301.000
2022-08-31 09:32:28,101.490,3366.000
2022-08-31 09:32:28,101.485,3422.000
2022-08-31 09:32:29,101.480,3458.000
2022-08-31 09:32:30,101.480,3473.000
2022-08-31 09:32:30,101.480,3483.000
2022-08-31 09:32:30,101.480,3483.000
2022-08-31 09:32:31,101.480,3484.000
2022-08-31 09:32:31,101.480,3491.000
2022-08-31 09:32:32,101.480,3500.000
2022-08-31 09:32:32,101.480,3500.000
2022-08-31 09:32:33,101.480,3500.000
2022-08-31 09:32:33,101.480,3508.000
2022-08-31 09:32:34,101.480,3508.000
2022-08-31 09:32:35,101.480,3517.000
2022-08-31 09:32:36,101.480,3518.000
2022-08-31 09:32:36,101.475,3521.000
2022-08-31 09:32:37,101.475,3522.000
2022-08-31 09:32:38,101.475,3529.000
2022-08-31 09:32:38,101.480,3584.000
2022-08-31 09:32:38,101.480,3584.000
2022-08-31 09:32:39,101.480,3585.000
2022-08-31 09:32:39,101.480,3585.000
2022-08-31 09:32:40,101.480,3586.000
2022-08-31 09:32:40,101.480,3586.000
2022-08-31 09:32:41,101.480,3586.000
2022-08-31 09:32:41,101.480,3586.000
2022-08-31 09:32:43,101.480,3587.000
2022-08-31 09:32:44,101.480,3588.000
2022-08-31 09:32:44,101.480,3591.000
2022-08-31 09:32:45,101.480,3592.000
2022-08-31 09:32:46,101.485,3595.000
2022-08-31 09:32:46,101.480,3597.000
2022-08-31 09:32:46,101.480,3598.000
2022-08-31 09:32:47,101.480,3598.000
2022-08-31 09:32:49,101.480,3599.000
2022-08-31 09:32:49,101.480,3599.000
2022-08-31 09:32:50,101.480,3601.000
2022-08-31 09:32:50,101.480,3601.000
2022-08-31 09:32:51,101.480,3602.000
2022-08-31 09:32:54,101.480,3602.000
2022-08-31 09:32:54,101.480,3602.000
2022-08-31 09:32:54,101.485,3640.000
2022-08-31 09:32:55,101.485,3640.000
2022-08-31 09:32:55,101.485,3640.000
2022-08-31 09:32:56,101.490,3671.000
2022-08-31 09:32:57,101.490,3673.000
2022-08-31 09:32:57,101.490,3687.000
2022-08-31 09:32:58,101.490,3687.000
2022-08-31 09:32:58,101.490,3688.000
2022-08-31 09:32:59,101.490,3688.000
2022-08-31 09:33:02,101.490,3688.000
2022-08-31 09:33:02,101.485,3693.000
2022-08-31 09:33:02,101.485,3693.000
2022-08-31 09:33:03,101.485,3694.000
2022-08-31 09:33:03,101.485,3694.000
2022-08-31 09:33:04,101.490,3698.000
2022-08-31 09:33:05,101.490,3699.000
2022-08-31 09:33:06,101.485,3700.000
2022-08-31 09:33:06,101.485,3701.000
2022-08-31 09:33:09,101.485,3701.000
2022-08-31 09:33:09,101.485,3702.000
2022-08-31 09:33:10,101.485,3703.000
2022-08-31 09:33:10,101.485,3703.000
2022-08-31 09:33:11,101.490,3706.000
2022-08-31 09:33:13,101.490,3706.000
2022-08-31 09:33:13,101.490,3706.000
2022-08-31 09:33:14,101.485,3716.000
2022-08-31 09:33:14,101.485,3716.000
2022-08-31 09:33:15,101.485,3716.000
2022-08-31 09:33:15,101.485,3716.000
2022-08-31 09:33:17,101.485,3716.000
2022-08-31 09:33:23,101.485,3716.000
2022-08-31 09:33:23,101.490,3717.000
2022-08-31 09:33:24,101.490,3717.000
2022-08-31 09:33:25,101.485,3718.000
2022-08-31 09:33:26,101.485,3718.000
2022-08-31 09:33:27,101.485,3718.000
2022-08-31 09:33:27,101.485,3719.000
2022-08-31 09:33:29,101.485,3719.000
2022-08-31 09:33:31,101.485,3720.000
2022-08-31 09:33:32,101.485,3721.000
2022-08-31 09:33:32,101.485,3721.000
2022-08-31 09:33:37,101.485,3721.000
2022-08-31 09:33:37,101.485,3726.000
2022-08-31 09:33:38,101.480,3777.000
2022-08-31 09:33:38,101.485,3778.000
2022-08-31 09:33:39,101.485,3778.000
2022-08-31 09:33:40,101.485,3778.000
2022-08-31 09:33:40,101.480,3779.000
2022-08-31 09:33:40,101.480,3779.000
2022-08-31 09:33:41,101.480,3779.000
2022-08-31 09:33:41,101.480,3781.000
2022-08-31 09:33:42,101.480,3781.000
2022-08-31 09:33:42,101.480,3782.000
2022-08-31 09:33:43,101.485,3852.000
2022-08-31 09:33:43,101.485,3874.000
2022-08-31 09:33:44,101.485,3875.000
2022-08-31 09:33:45,101.485,3875.000
2022-08-31 09:33:45,101.485,3875.000
2022-08-31 09:33:45,101.485,3908.000
2022-08-31 09:33:46,101.485,3910.000
2022-08-31 09:33:46,101.485,3910.000
2022-08-31 09:33:47,101.485,3910.000
2022-08-31 09:33:48,101.485,3910.000
2022-08-31 09:33:48,101.485,3910.000
2022-08-31 09:33:49,101.485,3910.000
2022-08-31 09:33:51,101.485,3911.000
2022-08-31 09:33:52,101.485,3921.000
2022-08-31 09:33:53,101.485,3921.000
2022-08-31 09:33:54,101.485,3922.000
2022-08-31 09:33:57,101.485,3972.000
2022-08-31 09:33:57,101.485,3972.000
2022-08-31 09:33:58,101.485,3976.000
2022-08-31 09:33:58,101.485,3976.000
2022-08-31 09:33:59,101.485,3996.000
2022-08-31 09:33:59,101.485,4007.000
2022-08-31 09:34:00,101.485,4013.000
2022-08-31 09:34:00,101.485,4013.000
2022-08-31 09:34:01,101.485,4013.000
2022-08-31 09:34:01,101.485,4013.000
2022-08-31 09:34:02,101.485,4013.000
2022-08-31 09:34:04,101.480,4014.000
2022-08-31 09:34:04,101.480,4014.000
2022-08-31 09:34:05,101.485,4019.000
2022-08-31 09:34:07,101.480,4020.000
2022-08-31 09:34:08,101.480,4020.000
2022-08-31 09:34:09,101.480,4020.000
2022-08-31 09:34:09,101.480,4020.000
2022-08-31 09:34:10,101.480,4020.000
2022-08-31 09:34:11,101.480,4020.000
2022-08-31 09:34:12,101.480,4020.000
2022-08-31 09:34:20,101.480,4020.000
2022-08-31 09:34:20,101.480,4021.000
2022-08-31 09:34:21,101.480,4022.000
2022-08-31 09:34:23,101.485,4023.000
2022-08-31 09:34:23,101.485,4023.000
2022-08-31 09:34:24,101.480,4038.000
2022-08-31 09:34:24,101.480,4038.000
2022-08-31 09:34:25,101.480,4038.000
2022-08-31 09:34:25,101.480,4038.000
2022-08-31 09:34:28,101.480,4039.000
2022-08-31 09:34:28,101.480,4039.000
2022-08-31 09:34:29,101.480,4039.000
2022-08-31 09:34:30,101.480,4039.000
2022-08-31 09:34:31,101.480,4040.000
2022-08-31 09:34:39,101.480,4040.000
2022-08-31 09:34:40,101.480,4041.000
2022-08-31 09:34:42,101.480,4041.000
2022-08-31 09:34:42,101.480,4042.000
2022-08-31 09:34:43,101.485,4073.000
2022-08-31 09:34:43,101.485,4074.000
2022-08-31 09:34:44,101.490,4171.000
2022-08-31 09:34:44,101.490,4174.000
2022-08-31 09:34:45,101.495,4175.000
2022-08-31 09:34:45,101.490,4185.000
2022-08-31 09:34:46,101.490,4186.000
2022-08-31 09:34:47,101.495,4187.000
2022-08-31 09:34:47,101.495,4187.000
2022-08-31 09:34:47,101.495,4187.000
2022-08-31 09:34:48,101.495,4187.000
2022-08-31 09:34:49,101.495,4187.000
2022-08-31 09:34:50,101.495,4187.000
2022-08-31 09:34:50,101.495,4188.000
2022-08-31 09:34:51,101.495,4188.000
2022-08-31 09:34:51,101.490,4189.000
2022-08-31 09:34:52,101.495,4190.000
2022-08-31 09:34:52,101.495,4192.000
2022-08-31 09:34:55,101.495,4192.000
2022-08-31 09:34:55,101.495,4246.000
2022-08-31 09:34:56,101.495,4256.000
2022-08-31 09:34:56,101.495,4257.000
2022-08-31 09:34:57,101.495,4257.000
2022-08-31 09:34:58,101.495,4257.000
2022-08-31 09:34:58,101.495,4257.000
2022-08-31 09:34:58,101.495,4258.000
2022-08-31 09:35:00,101.495,4260.000
2022-08-31 09:35:00,101.495,4263.000
2022-08-31 09:35:01,101.495,4264.000
2022-08-31 09:35:01,101.495,4264.000
2022-08-31 09:35:02,101.495,4264.000
2022-08-31 09:35:03,101.495,4264.000
2022-08-31 09:35:05,101.495,4265.000
2022-08-31 09:35:06,101.495,4265.000
2022-08-31 09:35:07,101.495,4294.000
2022-08-31 09:35:07,101.495,4312.000
2022-08-31 09:35:08,101.495,4312.000
2022-08-31 09:35:08,101.495,4316.000
2022-08-31 09:35:09,101.495,4316.000
2022-08-31 09:35:09,101.495,4320.000
2022-08-31 09:35:10,101.495,4320.000
2022-08-31 09:35:10,101.495,4320.000
2022-08-31 09:35:11,101.495,4321.000
2022-08-31 09:35:12,101.495,4321.000
2022-08-31 09:35:12,101.495,4323.000
2022-08-31 09:35:13,101.495,4324.000
2022-08-31 09:35:14,101.495,4324.000
2022-08-31 09:35:15,101.495,4325.000
2022-08-31 09:35:16,101.495,4326.000
2022-08-31 09:35:22,101.495,4327.000
2022-08-31 09:35:23,101.495,4327.000
2022-08-31 09:35:23,101.495,4328.000
2022-08-31 09:35:25,101.500,4355.000
2022-08-31 09:35:25,101.490,4362.000
2022-08-31 09:35:25,101.490,4362.000
2022-08-31 09:35:26,101.490,4363.000
2022-08-31 09:35:26,101.490,4363.000
2022-08-31 09:35:27,101.490,4363.000
2022-08-31 09:35:28,101.490,4364.000
2022-08-31 09:35:28,101.490,4364.000
2022-08-31 09:35:29,101.490,4364.000
2022-08-31 09:35:30,101.490,4365.000
2022-08-31 09:35:30,101.490,4365.000
2022-08-31 09:35:30,101.490,4365.000
2022-08-31 09:35:31,101.490,4366.000
2022-08-31 09:35:31,101.490,4366.000
2022-08-31 09:35:33,101.490,4366.000
2022-08-31 09:35:33,101.490,4366.000
2022-08-31 09:35:33,101.490,4367.000
2022-08-31 09:35:34,101.490,4401.000
