,open_tf_time,open_t_time,wind_tf_p,wind_t_p,close_tf_time,close_t_time,unwind_tf_p,unwind_t_p,diff_tf,diff_t,sum
0,2022-11-03 09:44:00,2022-11-03 09:44:00,-102.085,101.585,2022-11-03 09:58:03,2022-11-03 09:58:01,102.085,-101.615,0.0,0.030000000000001137,0.030000000000001137
1,2022-11-03 09:45:04,2022-11-03 09:45:00,-102.085,101.585,2022-11-03 09:58:03,2022-11-03 09:58:01,102.085,-101.615,0.0,0.030000000000001137,0.030000000000001137
2,2022-11-03 09:46:00,2022-11-03 09:46:00,-102.09,101.6,2022-11-03 09:58:03,2022-11-03 09:58:01,102.085,-101.615,0.005000000000009663,0.015000000000000568,0.020000000000010232
3,2022-11-03 09:50:01,2022-11-03 09:50:01,102.09,-101.61,2022-11-03 09:58:03,2022-11-03 09:58:01,-102.09,101.61,0.0,0.0,0.0
4,2022-11-03 09:51:04,2022-11-03 09:51:01,102.095,-101.62,2022-11-03 09:58:03,2022-11-03 09:58:01,-102.09,101.61,-0.0049999999999954525,0.010000000000005116,0.005000000000009663
5,2022-11-03 09:52:01,2022-11-03 09:52:00,102.095,-101.62,2022-11-03 09:58:03,2022-11-03 09:58:01,-102.09,101.61,-0.0049999999999954525,0.010000000000005116,0.005000000000009663
6,2022-11-03 09:53:01,2022-11-03 09:53:00,102.09,-101.62,2022-11-03 09:58:03,2022-11-03 09:58:01,-102.09,101.61,0.0,0.010000000000005116,0.010000000000005116
7,2022-11-03 09:54:00,2022-11-03 09:54:00,102.095,-101.625,2022-11-03 09:58:03,2022-11-03 09:58:01,-102.09,101.61,-0.0049999999999954525,0.015000000000000568,0.010000000000005116
8,2022-11-03 09:55:02,2022-11-03 09:55:07,102.09,-101.615,2022-11-03 09:58:03,2022-11-03 09:58:01,-102.09,101.61,0.0,0.0049999999999954525,0.0049999999999954525
9,2022-11-03 09:56:00,2022-11-03 09:56:00,102.085,-101.61,2022-11-03 09:58:03,2022-11-03 09:58:01,-102.09,101.61,0.005000000000009663,0.0,0.005000000000009663
10,2022-11-03 10:03:01,2022-11-03 10:03:02,-102.075,101.585,2022-11-03 10:19:07,2022-11-03 10:19:01,102.075,-101.6,0.0,0.015000000000000568,0.015000000000000568
11,2022-11-03 10:04:06,2022-11-03 10:04:01,-102.075,101.585,2022-11-03 10:19:07,2022-11-03 10:19:01,102.075,-101.6,0.0,0.015000000000000568,0.015000000000000568
12,2022-11-03 10:05:00,2022-11-03 10:05:03,-102.07,101.58,2022-11-03 10:19:07,2022-11-03 10:19:01,102.075,-101.6,-0.005000000000009663,0.01999999999999602,0.014999999999986358
13,2022-11-03 10:10:05,2022-11-03 10:10:05,102.07,-101.595,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.010000000000005116,0.0,0.010000000000005116
14,2022-11-03 10:11:01,2022-11-03 10:11:00,102.065,-101.59,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.015000000000000568,-0.0049999999999954525,0.010000000000005116
15,2022-11-03 10:12:00,2022-11-03 10:12:00,102.075,-101.605,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.0049999999999954525,0.010000000000005116,0.015000000000000568
16,2022-11-03 10:13:12,2022-11-03 10:13:01,102.07,-101.605,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.010000000000005116,0.010000000000005116,0.020000000000010232
17,2022-11-03 10:14:08,2022-11-03 10:14:08,102.07,-101.6,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.010000000000005116,0.0049999999999954525,0.015000000000000568
18,2022-11-03 10:15:01,2022-11-03 10:15:02,102.07,-101.6,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.010000000000005116,0.0049999999999954525,0.015000000000000568
19,2022-11-03 10:16:14,2022-11-03 10:16:01,102.075,-101.605,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.0049999999999954525,0.010000000000005116,0.015000000000000568
20,2022-11-03 10:17:00,2022-11-03 10:17:01,102.08,-101.61,2022-11-03 10:19:07,2022-11-03 10:19:01,-102.08,101.595,0.0,0.015000000000000568,0.015000000000000568
21,2022-11-03 10:21:00,2022-11-03 10:21:00,-102.06,101.575,2022-11-03 10:28:00,2022-11-03 10:28:03,102.055,-101.58,0.0049999999999954525,0.0049999999999954525,0.009999999999990905
