,ts_date,ts,tf,t,diff,zcore10
10,2022-11-08 09:40:00,101.30891223221958,101.88714174128133,101.40609754656941,1.0592737037736555,-1.3115244617819917
11,2022-11-08 09:41:00,101.31029175687806,101.88884345272653,101.40478846229824,1.0626066862767658,-0.7914210557005076
12,2022-11-08 09:42:00,101.30507239059855,101.88252827688162,101.39761120814475,1.0623729550199243,-0.65934290012273
13,2022-11-08 09:43:00,101.30094434277784,101.87619062046916,101.38528577084318,1.0661511273172977,-0.06398728565708715
14,2022-11-08 09:44:00,101.3013529131057,101.8733874129055,101.38832553920722,1.0570963734980836,-1.96812793228923
15,2022-11-08 09:45:00,101.30108920468942,101.86774308544689,101.3811893270605,1.0532076391438636,-3.2130646256927267
16,2022-11-08 09:46:00,101.29999999999997,101.86936319523097,101.38476685153462,1.0539595389273586,-1.8934304264543786
17,2022-11-08 09:47:00,101.30099956556369,101.86769727826643,101.38890332680477,1.045491664164416,-3.5243016265490064
18,2022-11-08 09:48:00,101.30350234797277,101.87524379169068,101.39302778542998,1.0539574499786113,-0.7991143838491958
19,2022-11-08 09:49:00,101.30375021916191,101.87652133341024,101.3925974836887,1.0566949639698606,-0.20230969459301343
20,2022-11-08 09:50:00,101.3062068405067,101.88200008335421,101.39603374374371,1.0617595824580093,0.8341237984922504
21,2022-11-08 09:51:00,101.3078575030466,101.88327130112334,101.39478308041242,1.0639020187876582,1.1422777054585993
22,2022-11-08 09:52:00,101.30859807595175,101.88683421143801,101.40034742606557,1.0647229208587135,1.2344529890548814
23,2022-11-08 09:53:00,101.30908936079621,101.88467834489335,101.39231293906272,1.0679543899277633,1.6770609916374655
24,2022-11-08 09:54:00,101.30499999999999,101.88668037246345,101.38890004440621,1.0794607005206842,3.3806237525927303
25,2022-11-08 09:55:00,101.30710657912904,101.88596719795049,101.38928742861437,1.0755403881575774,1.7007249512993632
26,2022-11-08 09:56:00,101.30106027297525,101.87777545545673,101.3805029069948,1.0739877309434007,1.1861386174883533
27,2022-11-08 09:57:00,101.29870551965648,101.87304861056842,101.37076792607807,1.0766237754022825,1.2346382134335054
28,2022-11-08 09:58:00,101.2953717675173,101.86702933876879,101.37007778776572,1.068609122254557,0.1385934433924556
29,2022-11-08 09:59:00,101.29714966107964,101.87169215325828,101.36993599755533,1.0762986478815861,1.0592453282166499
30,2022-11-08 10:00:00,101.3,101.87443960017218,101.37964848091082,1.0692307194335484,-0.2794389935264952
31,2022-11-08 10:01:00,101.30000000000001,101.875,101.38144280531681,1.06855719468318,-0.597814801226559
32,2022-11-08 10:02:00,101.29583011185532,101.87928614735733,101.38026257730277,1.0824796055565713,2.2532871848966325
33,2022-11-08 10:03:00,101.29583309949702,101.87891370525844,101.37899749757466,1.082996813445206,1.8855127552662545
34,2022-11-08 10:04:00,101.30044905008637,101.87802603043446,101.37980796030541,1.0757950504771259,0.08175536058871377
35,2022-11-08 10:05:00,101.30499999999999,101.88453725272386,101.38977635138595,1.074298154061779,-0.14514995330431055
36,2022-11-08 10:06:00,101.305,101.88571467382788,101.38906296082541,1.0773663868303345,0.503996061972757
37,2022-11-08 10:07:00,101.305,101.88877527877965,101.3950027052659,1.0775478522933923,0.4681552594750973
38,2022-11-08 10:08:00,101.30499999999999,101.8916817024691,101.40002773664389,1.078335668294315,0.604240723331425
39,2022-11-08 10:09:00,101.30936945010338,101.90237198944558,101.41062436305853,1.084750165729261,1.8727003391998391
40,2022-11-08 10:10:00,101.30860100548446,101.9014725621301,101.40908640339599,1.0852577153797398,1.567484713980436
41,2022-11-08 10:11:00,101.30826899190767,101.90000855515002,101.40453714816839,1.0872109702239925,1.7072807449328293
42,2022-11-08 10:12:00,101.30538419899875,101.89798299331744,101.40295055981294,1.087631227823195,1.6582129751569108
43,2022-11-08 10:13:00,101.30600017840058,101.89812081037637,101.40681104655809,1.0834303957940676,0.4896713678057374
44,2022-11-08 10:14:00,101.30499999999998,101.89382552271088,101.40869635360788,1.0739546918139098,-1.5208288709196018
45,2022-11-08 10:15:00,101.30499812911432,101.88886334506213,101.40407055340212,1.068658007607823,-2.4769090095346744
46,2022-11-08 10:16:00,101.30441951075163,101.88704174423563,101.40223280393988,1.0674311737797524,-2.190180614137452
47,2022-11-08 10:17:00,101.30354144446139,101.88881077620019,101.40330057197876,1.0707795359602272,-1.2210820766565689
48,2022-11-08 10:18:00,101.30543696052943,101.893004224492,101.4129820526292,1.0675894358253686,-1.4808576633451824
49,2022-11-08 10:19:00,101.3115452539091,101.89821262021354,101.41872657070881,1.0661534158091683,-1.3964177096899308
50,2022-11-08 10:20:00,101.31104066164694,101.89880789006249,101.41909281980111,1.0674822986769215,-0.9759921339552821
51,2022-11-08 10:21:00,101.3103215516581,101.89715995703784,101.41492619951659,1.0690721629009943,-0.603051400028194
52,2022-11-08 10:22:00,101.3111965930647,101.90044992749347,101.42068850444747,1.0690147574747755,-0.45555997007962584
53,2022-11-08 10:23:00,101.31149428532872,101.90142339560154,101.42259879704046,1.0687537088338956,-0.3324011953342013
54,2022-11-08 10:24:00,101.31464298864246,101.90233467359809,101.4243715271484,1.0656548314053254,-1.5663187498408453
55,2022-11-08 10:25:00,101.31177700102283,101.9014507334006,101.42046325353607,1.0706612122422854,1.8156855535222247
56,2022-11-08 10:26:00,101.31333296545304,101.89600199106577,101.41662934394542,1.0620416727330877,-3.8156213507655274
57,2022-11-08 10:27:00,101.30999999999999,101.89833226975138,101.41612987560296,1.0705346638998066,1.1337464729020053
58,2022-11-08 10:28:00,101.31043482307884,101.895,101.41741880752014,1.0621463694010203,-2.2622259252670966
59,2022-11-08 10:29:00,101.31021817779879,101.89703643811582,101.4178120248368,1.0660426735960442,-0.3737907688251865
60,2022-11-08 10:30:00,101.31000958429559,101.89469916060031,101.41693742933793,1.0624513075671018,-1.578633895857375
61,2022-11-08 10:31:00,101.30999999999999,101.89337245654976,101.41224887051813,1.0644960425813963,-0.6528729038858814
62,2022-11-08 10:32:00,101.30991673969598,101.89216011797761,101.40569678303339,1.0687067132258505,0.7830831487281589
63,2022-11-08 10:33:00,101.31,101.89129582782222,101.4079501479981,1.0646415076463427,-0.47089976326713145
64,2022-11-08 10:34:00,101.30972736874435,101.88883466211315,101.40546745956591,1.0624744959160495,-1.051723294595202
65,2022-11-08 10:35:00,101.3082564501865,101.88659874277157,101.40512519691619,1.0598158384404428,-1.722023103962913
