,ts_date,t
0,2023-02-13 09:30:00,100.47289159152352
1,2023-02-13 09:35:00,100.43134398672498
2,2023-02-13 09:40:00,100.43583084153745
3,2023-02-13 09:45:00,100.45343481015084
4,2023-02-13 09:50:00,100.48193160000972
5,2023-02-13 09:55:00,100.47194938843282
6,2023-02-13 10:00:00,100.47794838089195
7,2023-02-13 10:05:00,100.5043363596939
8,2023-02-13 10:10:00,100.51834354914723
9,2023-02-13 10:15:00,100.52423008467932
10,2023-02-13 10:20:00,100.53340668236997
11,2023-02-13 10:25:00,100.52813062741441
12,2023-02-13 10:30:00,100.53652557563468
13,2023-02-13 10:35:00,100.53200699632625
14,2023-02-13 10:40:00,100.52624924017289
15,2023-02-13 10:45:00,100.51028490027504
16,2023-02-13 10:50:00,100.50856208842295
17,2023-02-13 10:55:00,100.502835131916
18,2023-02-13 11:00:00,100.50660373964217
19,2023-02-13 11:05:00,100.50833167873549
20,2023-02-13 11:10:00,100.52525654213994
21,2023-02-13 11:15:00,100.54326844026782
22,2023-02-13 11:20:00,100.5463625726011
23,2023-02-13 11:25:00,100.53593452848773
24,2023-02-13 11:30:00,100.53499999999998
42,2023-02-13 13:00:00,100.54321885288675
43,2023-02-13 13:05:00,100.56303414915291
44,2023-02-13 13:10:00,100.56078002798635
45,2023-02-13 13:15:00,100.56195431902385
46,2023-02-13 13:20:00,100.55782046796372
47,2023-02-13 13:25:00,100.55531131649306
48,2023-02-13 13:30:00,100.55140134124768
49,2023-02-13 13:35:00,100.53157834015029
50,2023-02-13 13:40:00,100.52823016905704
51,2023-02-13 13:45:00,100.5224756143511
52,2023-02-13 13:50:00,100.52251740958916
53,2023-02-13 13:55:00,100.52548706566398
54,2023-02-13 14:00:00,100.50132704604509
55,2023-02-13 14:05:00,100.48686353005324
56,2023-02-13 14:10:00,100.46503362330611
57,2023-02-13 14:15:00,100.47443072893604
58,2023-02-13 14:20:00,100.49344419488924
59,2023-02-13 14:25:00,100.49308641904386
60,2023-02-13 14:30:00,100.49284044251476
61,2023-02-13 14:35:00,100.49082251410974
62,2023-02-13 14:40:00,100.4856883334445
63,2023-02-13 14:45:00,100.47381793693582
64,2023-02-13 14:50:00,100.46241998973316
65,2023-02-13 14:55:00,100.4650881527415
66,2023-02-13 15:00:00,100.50253083753151
67,2023-02-13 15:05:00,100.517701132463
68,2023-02-13 15:10:00,100.50706564190335
69,2023-02-13 15:15:00,100.5
71,2023-02-13 15:25:00,100.5
